label,subject,body
phishing,A document has been shared with you,"Dear student, your university account will be deleted unless you verify it here: http://login-verify-account.net/pu-verify"
phishing,Update your payment details,Required update from IT Helpdesk. Install the patch here: http://paypal-security-update.com/update.exe
phishing,IT Support: Required System Update,You have a pending document shared via OneDrive. View it here: http://bca-klik-secure.net
legit,Your flight itinerary,See you at the sync later.
phishing,President University: IT Helpdesk Alert,Track your package here. It could not be delivered due to missing address: http://secure-update.com
phishing,You won a $1000 Amazon Gift Card,You won a $500 Cash. Claim it here: www.secure-update.com/claim
phishing,Unusual login activity,You have a pending document shared via OneDrive. View it here: http://free-prize-claim.org
phishing,A document has been shared with you,Please verify your email address immediately to avoid account closure. Link: www.it-helpdesk-portal.com/auth
phishing,Final Warning: Account Deletion,Your PayPal account is restricted. Update your billing details immediately at it-helpdesk-portal.com.
legit,Weekly sync,Your class schedule for Summer is ready.
legit,Welcome to the team,Here is your flight itinerary for your upcoming trip.
legit,University event: Graduation,Welcome to the team! We are glad to have you.
phishing,Final Warning: Account Deletion,Your antivirus subscription expired. Renew now at a discount: http://verify-your-id.net
legit,Happy birthday!,Here is your flight itinerary for your upcoming trip.
legit,Welcome to the team,"Hi, let's meet at next Monday. Regards."
legit,Project update: Beta,The report is attached. Let me know if you have questions.
legit,Welcome to the team,Please find the invoice attached for your records.
phishing,Your subscription has expired,Click the link below to reset your password within 2 hours. http://it-helpdesk-portal.com
phishing,A document has been shared with you,Required update from IT Helpdesk. Install the patch here: http://paypal-security-update.com/update.exe
phishing,Your subscription has expired,Alert: Unusual activity on your Mandiri account. Log in to verify: http://free-prize-claim.org
legit,Weekly sync,Let's grab a coffee at room 201 and discuss budget.
legit,Happy birthday!,Your homework has been submitted successfully.
phishing,Account locked,Click here to verify your account immediately.
phishing,You won a new iPad,Someone logged into your account from a new device. Click here if it wasn't you: http://login-verify-account.net
legit,Notes from yesterday's meeting,Please return the book by 10 AM.
phishing,PayPal Security Notice,You have an unpaid invoice of $450. Pay immediately using the link: http://bca-klik-secure.net
legit,Weekly sync,Your homework has been submitted successfully.
phishing,Update your payment details,"Dear student, your university account will be deleted unless you verify it here: http://bca-klik-secure.net/pu-verify"
legit,Lunch today?,Please find the invoice attached for your records.
phishing,Action Required: Verify Your Email,Track your package here. It could not be delivered due to missing address: http://it-helpdesk-portal.com
legit,Homework submission confirmed,Can you please review the attached document before the meeting at tomorrow morning?
legit,Task assignment: Cybersecurity Upgrade,Let's grab a coffee at the food court and discuss design.
legit,Task assignment: Q4 Planning,"Hi, let's meet at tomorrow morning. Regards."
phishing,Account locked due to multiple failed logins,We noticed suspicious activity. Verify your identity at http://secure-update.com to unlock your account.
phishing,Verify details,Confirm your address to continue.
phishing,You won a Bitcoin giveaway,FINAL WARNING: We will close your account unless you update your profile here: http://it-helpdesk-portal.com
legit,Feedback on your presentation,The Website Redesign project is on track. See attached.
legit,University event: Alumni Meetup,The Beta project is on track. See attached.
legit,Question regarding requirements,Join us for the Graduation tomorrow.
phishing,Password Reset Required,You have an unpaid invoice of $450. Pay immediately using the link: http://paypal-security-update.com
legit,Library overdue notice,Could you clarify the point about budget?
legit,University event: Graduation,Could you clarify the point about timeline?
phishing,President University: IT Helpdesk Alert,We noticed suspicious activity. Verify your identity at http://login-verify-account.net to unlock your account.
legit,Meeting at 14:00,Let's grab a coffee at the usual spot and discuss deployment.
legit,Feedback on your presentation,Could you clarify the point about requirements?
legit,Coffee break?,Please find the invoice attached for your records.
legit,Weekly sync,Your class schedule for Summer is ready.
phishing,Update your payment details,We noticed suspicious activity. Verify your identity at http://paypal-security-update.com to unlock your account.
legit,Library overdue notice,See you at the sync later.
legit,Invoice #1029 attached,"Hi, let's meet at 14:00. Regards."
phishing,A document has been shared with you,Your account will be suspended in 24 hours. Click here to verify: http://it-helpdesk-portal.com/verify
legit,University event: Hackathon,Here is your flight itinerary for your upcoming trip.
legit,Happy birthday!,Your homework has been submitted successfully.
phishing,Unusual login activity,Alert: Unusual activity on your Bank of America account. Log in to verify: http://it-helpdesk-portal.com
legit,University event: Career Fair,Please return the book by 14:00.
legit,Please review document,Please return the book by 10 AM.
legit,Q3 Marketing Report,Great presentation today! I really liked the part about design.
phishing,Your package could not be delivered,Required update from IT Helpdesk. Install the patch here: http://verify-your-id.net/update.exe
phishing,Action Required: Verify Your Email,Alert: Unusual activity on your Bank of America account. Log in to verify: http://paypal-security-update.com
legit,Happy birthday!,Can you please review the attached document before the meeting at Friday at 3 PM?
legit,Lunch today?,Can you please review the attached document before the meeting at 14:00?
legit,Homework submission confirmed,Please note the schedule change for the Hackathon.
phishing,Action Required: Verify Your Email,Track your package here. It could not be delivered due to missing address: http://secure-update.com
phishing,A document has been shared with you,Your antivirus subscription expired. Renew now at a discount: http://login-verify-account.net
legit,Weekly sync,"Hi, let's meet at 10 AM. Regards."
phishing,Your subscription has expired,Please verify your email address immediately to avoid account closure. Link: www.it-helpdesk-portal.com/auth
legit,Weekly sync,The Data Migration project is on track. See attached.
phishing,Account locked due to multiple failed logins,Your payment failed. Update details now to keep your subscription active: secure-update.com
phishing,Unusual login activity,Your PayPal account is restricted. Update your billing details immediately at free-prize-claim.org.
phishing,IT Support: Required System Update,Your account will be suspended in 24 hours. Click here to verify: http://verify-your-id.net/verify
phishing,Important: Update your mailbox quota,We noticed suspicious activity. Verify your identity at http://verify-your-id.net to unlock your account.
legit,Weekly sync,Your class schedule for Spring 2026 is ready.
phishing,Password Reset Required,Required update from IT Helpdesk. Install the patch here: http://login-verify-account.net/update.exe
phishing,URGENT: Account Suspended,Your account will be suspended in 24 hours. Click here to verify: http://verify-your-id.net/verify
legit,Weekly sync,Please note the schedule change for the Graduation.
phishing,Important: Update your mailbox quota,You have an unpaid invoice of $450. Pay immediately using the link: http://login-verify-account.net
phishing,Claim your iPhone,Your PayPal account is restricted. Update your billing details immediately at bca-klik-secure.net.
legit,Coffee break?,Wishing you a very happy birthday!
legit,Welcome to the team,Welcome to the team! We are glad to have you.
phishing,Password Reset Required,Alert: Unusual activity on your BCA account. Log in to verify: http://paypal-security-update.com
phishing,Invoice #1002 Overdue - Pay Immediately,Your mailbox is full. Upgrade your quota for free here: www.secure-update.com/quota
phishing,A document has been shared with you,Your account will be suspended in 24 hours. Click here to verify: http://bca-klik-secure.net/verify
phishing,A document has been shared with you,You have a pending document shared via OneDrive. View it here: http://secure-update.com
legit,Your flight itinerary,Welcome to the team! We are glad to have you.
legit,Happy birthday!,Welcome to the team! We are glad to have you.
legit,Library overdue notice,The report is attached. Let me know if you have questions.
phishing,Your package could not be delivered,You have an unpaid invoice of $450. Pay immediately using the link: http://paypal-security-update.com
legit,Weekly sync,Welcome to the team! We are glad to have you.
phishing,A document has been shared with you,FINAL WARNING: We will close your account unless you update your profile here: http://verify-your-id.net
phishing,Action Required: Verify Your Email,Your account will be suspended in 24 hours. Click here to verify: http://free-prize-claim.org/verify
phishing,Security Alert: Compromised Password,You have a pending document shared via OneDrive. View it here: http://it-helpdesk-portal.com
legit,Welcome to the team,The Alpha project is on track. See attached.
legit,Your flight itinerary,Just a quick reminder about our meeting regarding Q4 Planning.
legit,Invoice #8473 attached,Just a quick reminder about our meeting regarding Data Migration.
phishing,Action Required: Verify Your Email,Someone logged into your account from a new device. Click here if it wasn't you: http://secure-update.com
legit,Your flight itinerary,Please find the invoice attached for your records.
legit,Homework submission confirmed,The Website Redesign project is on track. See attached.
phishing,Update your payment details,Track your package here. It could not be delivered due to missing address: http://bca-klik-secure.net
phishing,Verify your identity now,FINAL WARNING: We will close your account unless you update your profile here: http://secure-update.com
legit,Happy birthday!,Let's grab lunch at the usual spot.
phishing,Update your payment details,Your mailbox is full. Upgrade your quota for free here: www.bca-klik-secure.net/quota
legit,Schedule change for Even Semester,Your class schedule for Spring 2026 is ready.
legit,Please review document,Please find the invoice attached for your records.
legit,Project update: Alpha,"Hi, let's meet at 10 AM. Regards."
phishing,Update your payment details,Alert: Unusual activity on your BCA account. Log in to verify: http://it-helpdesk-portal.com
legit,Weekly sync,Welcome to the team! We are glad to have you.
legit,Meeting at 10 AM,Let's grab lunch at room 201.
phishing,You won a Bitcoin giveaway,Your antivirus subscription expired. Renew now at a discount: http://bca-klik-secure.net
phishing,Your subscription has expired,Your payment failed. Update details now to keep your subscription active: it-helpdesk-portal.com
phishing,A document has been shared with you,You have a pending document shared via OneDrive. View it here: http://login-verify-account.net
phishing,URGENT: Account Suspended,You have an unpaid invoice of $450. Pay immediately using the link: http://login-verify-account.net
phishing,Claim your iPhone,Your PayPal account is restricted. Update your billing details immediately at it-helpdesk-portal.com.
legit,Schedule change for Fall 2026,Your homework has been submitted successfully.
legit,Coffee break?,Wishing you a very happy birthday!
phishing,Important: Update your mailbox quota,Alert: Unusual activity on your Bank of America account. Log in to verify: http://free-prize-claim.org
legit,Schedule change for Fall 2026,The report is attached. Let me know if you have questions.
legit,Schedule change for Summer,Let's grab lunch at room 201.
legit,Homework submission confirmed,Please return the book by 2 PM.
legit,Notes from yesterday's meeting,Join us for the Alumni Meetup tomorrow.
legit,Question regarding marketing,Wishing you a very happy birthday!
legit,Schedule change for Summer,The Cybersecurity Upgrade project is on track. See attached.
phishing,IT Support: Required System Update,Alert: Unusual activity on your BRI account. Log in to verify: http://secure-update.com
legit,Class schedule for Fall 2026,"Hi, let's meet at 10 AM. Regards."
phishing,Action Required: Verify Your Email,Alert: Unusual activity on your BCA account. Log in to verify: http://secure-update.com
phishing,Verify your identity now,Your PayPal account is restricted. Update your billing details immediately at login-verify-account.net.
phishing,Account locked due to multiple failed logins,Claim your free iPhone today by clicking this link: http://free-prize-claim.org
phishing,Password Reset Required,Your mailbox is full. Upgrade your quota for free here: www.secure-update.com/quota
legit,University event: Graduation,Wishing you a very happy birthday!
phishing,Invoice #7781 Overdue - Pay Immediately,Someone logged into your account from a new device. Click here if it wasn't you: http://login-verify-account.net
legit,Q3 Marketing Report,See you at the sync later.
phishing,Account locked due to multiple failed logins,You won a trip to Bali. Claim it here: www.bca-klik-secure.net/claim
phishing,Invoice #5543 Overdue - Pay Immediately,Click the link below to reset your password within 2 hours. http://login-verify-account.net
phishing,URGENT: Account Suspended,Your antivirus subscription expired. Renew now at a discount: http://bca-klik-secure.net
legit,Coffee break?,Here is your flight itinerary for your upcoming trip.
legit,Schedule change for Summer,Your homework has been submitted successfully.
legit,Question regarding design,"Hi, let's meet at next Monday. Regards."
legit,Coffee break?,Your homework has been submitted successfully.
phishing,Security Alert: Compromised Password,Click the link below to reset your password within 2 hours. http://login-verify-account.net
phishing,PayPal Security Notice,Someone logged into your account from a new device. Click here if it wasn't you: http://paypal-security-update.com
phishing,IT Support: Required System Update,Someone logged into your account from a new device. Click here if it wasn't you: http://bca-klik-secure.net
legit,Welcome to the team,Can you please review the attached document before the meeting at next Monday?
legit,Project update: Data Migration,The Data Migration project is on track. See attached.
phishing,Invoice #8473 Overdue - Pay Immediately,Your mailbox is full. Upgrade your quota for free here: www.login-verify-account.net/quota
legit,Please review document,Welcome to the team! We are glad to have you.
phishing,Your subscription has expired,Alert: Unusual activity on your Chase account. Log in to verify: http://bca-klik-secure.net
legit,Coffee break?,"Hi, let's meet at next Monday. Regards."
phishing,Password Reset Required,Track your package here. It could not be delivered due to missing address: http://bca-klik-secure.net
phishing,Verify your identity now,Please verify your email address immediately to avoid account closure. Link: www.it-helpdesk-portal.com/auth
phishing,Verify your identity now,We noticed suspicious activity. Verify your identity at http://free-prize-claim.org to unlock your account.
phishing,Claim your iPhone,Alert: Unusual activity on your Mandiri account. Log in to verify: http://bca-klik-secure.net
legit,Weekly sync,Please note the schedule change for the Career Fair.
phishing,Your package could not be delivered,Your account will be suspended in 24 hours. Click here to verify: http://bca-klik-secure.net/verify
phishing,Bank Account Alert: Chase,Someone logged into your account from a new device. Click here if it wasn't you: http://paypal-security-update.com
legit,Please review document,See you at the sync later.
legit,Task assignment: Alpha,Please note the schedule change for the Career Fair.
legit,Please review document,Can you please review the attached document before the meeting at 14:00?
phishing,IT Support: Required System Update,You have a pending document shared via OneDrive. View it here: http://bca-klik-secure.net
phishing,Update your payment details,You have a pending document shared via OneDrive. View it here: http://secure-update.com
legit,Welcome to the team,The Cybersecurity Upgrade project is on track. See attached.
legit,Meeting at Friday at 3 PM,Your homework has been submitted successfully.
legit,Schedule change for Fall 2026,Can you please review the attached document before the meeting at 10 AM?
legit,Q3 Marketing Report,Let's grab a coffee at Starbucks and discuss design.
phishing,Unusual login activity,Your mailbox is full. Upgrade your quota for free here: www.secure-update.com/quota
legit,Lunch today?,Great presentation today! I really liked the part about deployment.
phishing,Claim your iPhone,Someone logged into your account from a new device. Click here if it wasn't you: http://verify-your-id.net
legit,Schedule change for Spring 2026,Welcome to the team! We are glad to have you.
legit,Homework submission confirmed,Join us for the Guest Lecture tomorrow.
legit,Project update: Alpha,Here is your flight itinerary for your upcoming trip.
phishing,Action Required: Verify Your Email,You won a $1000 Amazon Gift Card. Claim it here: www.paypal-security-update.com/claim
legit,Project update: Alpha,Let's grab lunch at the usual spot.
phishing,Your subscription has expired,Your mailbox is full. Upgrade your quota for free here: www.it-helpdesk-portal.com/quota
legit,Project update: Q4 Planning,Please return the book by Friday at 3 PM.
legit,University event: Hackathon,Let's grab a coffee at room 201 and discuss deployment.
phishing,Update your payment details,Required update from IT Helpdesk. Install the patch here: http://free-prize-claim.org/update.exe
legit,University event: Guest Lecture,Let's grab lunch at room 201.
legit,Task assignment: Beta,Let's grab a coffee at room 201 and discuss budget.
phishing,Verify your identity now,You have a pending document shared via OneDrive. View it here: http://login-verify-account.net
legit,Happy birthday!,Let's grab a coffee at room 201 and discuss deployment.
phishing,Security Alert: Compromised Password,"Dear student, your university account will be deleted unless you verify it here: http://secure-update.com/pu-verify"
legit,Project update: Data Migration,Join us for the Guest Lecture tomorrow.
phishing,Final Warning: Account Deletion,Your PayPal account is restricted. Update your billing details immediately at verify-your-id.net.
phishing,IT Support: Required System Update,"Dear student, your university account will be deleted unless you verify it here: http://verify-your-id.net/pu-verify"
legit,Schedule change for Even Semester,Please find the invoice attached for your records.
phishing,Verify your identity now,Your payment failed. Update details now to keep your subscription active: paypal-security-update.com
legit,Happy birthday!,Here is your flight itinerary for your upcoming trip.
legit,Class schedule for Even Semester,See you at the sync later.
phishing,Security Alert: Compromised Password,Your PayPal account is restricted. Update your billing details immediately at paypal-security-update.com.
phishing,Invoice #7781 Overdue - Pay Immediately,FINAL WARNING: We will close your account unless you update your profile here: http://bca-klik-secure.net
legit,Coffee break?,I've attached the notes from yesterday's meeting. Thanks.
legit,Coffee break?,The Q4 Planning project is on track. See attached.
phishing,PayPal Security Notice,Your antivirus subscription expired. Renew now at a discount: http://bca-klik-secure.net
legit,Lunch today?,Great presentation today! I really liked the part about requirements.
phishing,President University: IT Helpdesk Alert,You won a trip to Bali. Claim it here: www.it-helpdesk-portal.com/claim
legit,Task assignment: Q4 Planning,The report is attached. Let me know if you have questions.
phishing,Security Alert: Compromised Password,Claim your free iPhone today by clicking this link: http://verify-your-id.net
phishing,A document has been shared with you,Click the link below to reset your password within 2 hours. http://login-verify-account.net
phishing,Password Reset Required,Claim your free iPhone today by clicking this link: http://free-prize-claim.org
phishing,Your subscription has expired,Click the link below to reset your password within 2 hours. http://free-prize-claim.org
legit,Q3 Marketing Report,Great presentation today! I really liked the part about deployment.
legit,Invoice #1002 attached,See you at the sync later.
phishing,You won a $500 Cash,Click the link below to reset your password within 2 hours. http://it-helpdesk-portal.com
legit,University event: Career Fair,Let's grab a coffee at Starbucks and discuss deployment.
phishing,IT Support: Required System Update,Click the link below to reset your password within 2 hours. http://it-helpdesk-portal.com
phishing,Invoice #1002 Overdue - Pay Immediately,"Dear student, your university account will be deleted unless you verify it here: http://it-helpdesk-portal.com/pu-verify"
phishing,Unusual login activity,Click the link below to reset your password within 2 hours. http://verify-your-id.net
phishing,PayPal Security Notice,Required update from IT Helpdesk. Install the patch here: http://it-helpdesk-portal.com/update.exe
legit,Please review document,Just a quick reminder about our meeting regarding Alpha.
legit,Lunch today?,Great presentation today! I really liked the part about deployment.
legit,Feedback on your presentation,Wishing you a very happy birthday!
legit,Lunch today?,Join us for the Alumni Meetup tomorrow.
legit,Invoice #5543 attached,Let's grab lunch at Starbucks.
phishing,IT Support: Required System Update,You won a new iPad. Claim it here: www.free-prize-claim.org/claim
phishing,Your package could not be delivered,Your account will be suspended in 24 hours. Click here to verify: http://free-prize-claim.org/verify
legit,Question regarding budget,Please note the schedule change for the Hackathon.
phishing,Important: Update your mailbox quota,Your mailbox is full. Upgrade your quota for free here: www.paypal-security-update.com/quota
phishing,Bank Account Alert: BNI,We noticed suspicious activity. Verify your identity at http://free-prize-claim.org to unlock your account.
phishing,Bank Account Alert: Mandiri,Your antivirus subscription expired. Renew now at a discount: http://verify-your-id.net
phishing,President University: IT Helpdesk Alert,Claim your free iPhone today by clicking this link: http://login-verify-account.net
legit,Lunch today?,Here is your flight itinerary for your upcoming trip.
legit,Task assignment: Website Redesign,See you at the sync later.
phishing,Security Alert: Compromised Password,Please verify your email address immediately to avoid account closure. Link: www.verify-your-id.net/auth
phishing,Password Reset Required,Your payment failed. Update details now to keep your subscription active: secure-update.com
phishing,Bank Account Alert: BRI,Someone logged into your account from a new device. Click here if it wasn't you: http://bca-klik-secure.net
phishing,Verify your identity now,FINAL WARNING: We will close your account unless you update your profile here: http://bca-klik-secure.net
phishing,A document has been shared with you,Your antivirus subscription expired. Renew now at a discount: http://secure-update.com
legit,Welcome to the team,I've attached the notes from yesterday's meeting. Thanks.
legit,Meeting at tomorrow morning,Just a quick reminder about our meeting regarding Q4 Planning.
legit,Notes from yesterday's meeting,Let's grab a coffee at the food court and discuss timeline.
phishing,You won a $1000 Amazon Gift Card,You have a pending document shared via OneDrive. View it here: http://verify-your-id.net
phishing,Password Reset Required,Required update from IT Helpdesk. Install the patch here: http://verify-your-id.net/update.exe
legit,Library overdue notice,Here is your flight itinerary for your upcoming trip.
legit,Weekly sync,Please note the schedule change for the Alumni Meetup.
legit,Project update: Data Migration,Let's grab a coffee at the food court and discuss budget.
phishing,Invoice #5543 Overdue - Pay Immediately,Please verify your email address immediately to avoid account closure. Link: www.bca-klik-secure.net/auth
legit,Notes from yesterday's meeting,Let's grab a coffee at the usual spot and discuss budget.
phishing,Bank Account Alert: Bank of America,Track your package here. It could not be delivered due to missing address: http://secure-update.com
phishing,Your subscription has expired,Your payment failed. Update details now to keep your subscription active: secure-update.com
phishing,Update your payment details,We noticed suspicious activity. Verify your identity at http://login-verify-account.net to unlock your account.
legit,Question regarding design,Great presentation today! I really liked the part about design.
phishing,Unusual login activity,You have a pending document shared via OneDrive. View it here: http://it-helpdesk-portal.com
legit,Happy birthday!,Your homework has been submitted successfully.
legit,Feedback on your presentation,Your homework has been submitted successfully.
legit,Invoice #9921 attached,Please find the invoice attached for your records.
phishing,PayPal Security Notice,Your mailbox is full. Upgrade your quota for free here: www.it-helpdesk-portal.com/quota
legit,Invoice #7781 attached,The Cybersecurity Upgrade project is on track. See attached.
legit,Lunch today?,Your homework has been submitted successfully.
legit,Library overdue notice,Please return the book by 14:00.
legit,Coffee break?,Please note the schedule change for the Graduation.
legit,Happy birthday!,Your homework has been submitted successfully.
legit,University event: Career Fair,See you at the sync later.
legit,Weekly sync,See you at the sync later.
legit,Class schedule for Fall 2026,Here is your flight itinerary for your upcoming trip.
phishing,President University: IT Helpdesk Alert,Please verify your email address immediately to avoid account closure. Link: www.bca-klik-secure.net/auth
phishing,Important: Update your mailbox quota,Claim your free iPhone today by clicking this link: http://verify-your-id.net
phishing,Final Warning: Account Deletion,Required update from IT Helpdesk. Install the patch here: http://bca-klik-secure.net/update.exe
legit,Q3 Marketing Report,Great presentation today! I really liked the part about marketing.
phishing,Verify your identity now,FINAL WARNING: We will close your account unless you update your profile here: http://it-helpdesk-portal.com
phishing,Security Alert: Compromised Password,Track your package here. It could not be delivered due to missing address: http://secure-update.com
phishing,A document has been shared with you,You won a Bitcoin giveaway. Claim it here: www.secure-update.com/claim
legit,University event: Guest Lecture,The report is attached. Let me know if you have questions.
legit,Lunch today?,Great presentation today! I really liked the part about deployment.
legit,Weekly sync,Let's grab a coffee at the usual spot and discuss marketing.
phishing,Claim your iPhone,FINAL WARNING: We will close your account unless you update your profile here: http://login-verify-account.net
legit,Meeting at 10 AM,The Cybersecurity Upgrade project is on track. See attached.
legit,Coffee break?,Can you please review the attached document before the meeting at 10 AM?
legit,Lunch today?,The Q4 Planning project is on track. See attached.
phishing,URGENT: Account Suspended,Required update from IT Helpdesk. Install the patch here: http://it-helpdesk-portal.com/update.exe
legit,Class schedule for Spring 2026,Wishing you a very happy birthday!
phishing,Invoice #8473 Overdue - Pay Immediately,Your mailbox is full. Upgrade your quota for free here: www.verify-your-id.net/quota
legit,Your flight itinerary,The Website Redesign project is on track. See attached.
phishing,Claim your iPhone,You have a pending document shared via OneDrive. View it here: http://verify-your-id.net
phishing,Password Reset Required,Track your package here. It could not be delivered due to missing address: http://it-helpdesk-portal.com
legit,Welcome to the team,Please return the book by Friday at 3 PM.
legit,Please review document,Great presentation today! I really liked the part about design.
legit,Question regarding design,Let's grab lunch at the cafeteria.
legit,Class schedule for Even Semester,I've attached the notes from yesterday's meeting. Thanks.
phishing,IT Support: Required System Update,Required update from IT Helpdesk. Install the patch here: http://paypal-security-update.com/update.exe
legit,Project update: Data Migration,Please return the book by 2 PM.
legit,Lunch today?,The Beta project is on track. See attached.
legit,Weekly sync,The Website Redesign project is on track. See attached.
legit,Question regarding budget,Please return the book by 14:00.
legit,Coffee break?,Please return the book by 10 AM.
phishing,President University: IT Helpdesk Alert,Your antivirus subscription expired. Renew now at a discount: http://secure-update.com
phishing,Claim your iPhone,We noticed suspicious activity. Verify your identity at http://secure-update.com to unlock your account.
legit,Class schedule for Even Semester,The Data Migration project is on track. See attached.
phishing,Bank Account Alert: BRI,Your payment failed. Update details now to keep your subscription active: bca-klik-secure.net
legit,Project update: Cybersecurity Upgrade,Wishing you a very happy birthday!
legit,Library overdue notice,Let's grab a coffee at Starbucks and discuss design.
legit,University event: Guest Lecture,The report is attached. Let me know if you have questions.
legit,Invoice #8473 attached,"Hi, let's meet at tomorrow morning. Regards."
legit,Welcome to the team,Your class schedule for Spring 2026 is ready.
phishing,Unusual login activity,FINAL WARNING: We will close your account unless you update your profile here: http://bca-klik-secure.net
legit,Your flight itinerary,Could you clarify the point about design?
legit,Please review document,Here is your flight itinerary for your upcoming trip.
legit,Notes from yesterday's meeting,Please note the schedule change for the Alumni Meetup.
phishing,Claim your iPhone,Track your package here. It could not be delivered due to missing address: http://it-helpdesk-portal.com
legit,Invoice #8473 attached,Great presentation today! I really liked the part about deployment.
phishing,Invoice #1002 Overdue - Pay Immediately,FINAL WARNING: We will close your account unless you update your profile here: http://verify-your-id.net
legit,Your flight itinerary,Great presentation today! I really liked the part about budget.
legit,Schedule change for Fall 2026,The report is attached. Let me know if you have questions.
legit,Lunch today?,Let's grab a coffee at the usual spot and discuss budget.
legit,Welcome to the team,Can you please review the attached document before the meeting at 2 PM?
legit,Feedback on your presentation,Let's grab a coffee at room 201 and discuss deployment.
phishing,Invoice #1029 Overdue - Pay Immediately,Click the link below to reset your password within 2 hours. http://paypal-security-update.com
legit,Library overdue notice,The Data Migration project is on track. See attached.
legit,University event: Graduation,See you at the sync later.
phishing,PayPal Security Notice,Please verify your email address immediately to avoid account closure. Link: www.free-prize-claim.org/auth
legit,Your flight itinerary,The report is attached. Let me know if you have questions.
phishing,Verify your identity now,Claim your free iPhone today by clicking this link: http://it-helpdesk-portal.com
phishing,Action Required: Verify Your Email,Your antivirus subscription expired. Renew now at a discount: http://verify-your-id.net
legit,Homework submission confirmed,"Hi, let's meet at 14:00. Regards."
legit,Meeting at 2 PM,Just a quick reminder about our meeting regarding Alpha.
legit,Please review document,Let's grab lunch at the usual spot.
legit,Homework submission confirmed,Please note the schedule change for the Graduation.
phishing,Verify your identity now,Your account will be suspended in 24 hours. Click here to verify: http://bca-klik-secure.net/verify
phishing,URGENT: Account Suspended,"Dear student, your university account will be deleted unless you verify it here: http://paypal-security-update.com/pu-verify"
phishing,Security Alert: Compromised Password,Your payment failed. Update details now to keep your subscription active: paypal-security-update.com
legit,Project update: Alpha,Here is your flight itinerary for your upcoming trip.
phishing,Claim your iPhone,Your PayPal account is restricted. Update your billing details immediately at free-prize-claim.org.
legit,Feedback on your presentation,Great presentation today! I really liked the part about design.
legit,University event: Hackathon,Welcome to the team! We are glad to have you.
phishing,Password Reset Required,Click the link below to reset your password within 2 hours. http://login-verify-account.net
legit,Question regarding marketing,Great presentation today! I really liked the part about budget.
legit,Class schedule for Even Semester,Could you clarify the point about timeline?
legit,Feedback on your presentation,"Hi, let's meet at 14:00. Regards."
